cosmo,Notes,$\Omega_b$,$\Omega_c$,$h$,$A_s$,$n_s$,$\alpha_s$,$N_{ur}$,$N_{ncdm}$,$\Omega_{ncdm}$,$w_0$,$w_a$,$\sigma_8$,"$\sigma_{8,cb}$"
c164,Emulatorgridaroundbaselinecosmology,0.02173,0.1091,0.6042,2.0003e-09,0.9211,0.016,1.1769,1,0.0006442,-1.0,0.0,0.774159,0.777681
c165,Emulatorgridaroundbaselinecosmology,0.02225,0.1278,0.7293,2.0676e-09,1.0241,0.026,2.7558,1,0.0006442,-1.0,0.0,0.835954,0.839319
c166,Emulatorgridaroundbaselinecosmology,0.02306,0.1151,0.6826,2.2779e-09,0.9691,0.038,1.9089,1,0.0006442,-1.0,0.0,0.837463,0.841106
c167,Emulatorgridaroundbaselinecosmology,0.02248,0.14,0.705,1.7321e-09,0.9715,-0.017,2.8889,1,0.0006442,-1.0,0.0,0.768419,0.771255
c168,Emulatorgridaroundbaselinecosmology,0.02157,0.1084,0.607,2.5378e-09,0.9275,0.016,1.1911,1,0.0006442,-1.0,0.0,0.871407,0.875401
c169,Emulatorgridaroundbaselinecosmology,0.02189,0.1222,0.6474,1.8067e-09,0.9898,0.038,1.9109,1,0.0006442,-1.0,0.0,0.777925,0.781158
c170,Emulatorgridaroundbaselinecosmology,0.02319,0.1076,0.6418,1.7994e-09,0.9387,-0.026,1.3411,1,0.0006442,-1.0,0.0,0.716059,0.719332
c171,Emulatorgridaroundbaselinecosmology,0.02348,0.1272,0.6733,2.2585e-09,0.9762,-0.038,2.1543,1,0.0006442,-1.0,0.0,0.852878,0.856267
c172,Emulatorgridaroundbaselinecosmology,0.02282,0.1032,0.6369,2.1259e-09,0.9012,0.017,1.1954,1,0.0006442,-1.0,0.0,0.76565,0.769278
c173,Emulatorgridaroundbaselinecosmology,0.02322,0.1161,0.68,1.8904e-09,0.9628,0.038,1.9049,1,0.0006442,-1.0,0.0,0.763962,0.767255
c174,Emulatorgridaroundbaselinecosmology,0.02302,0.1064,0.6427,2.4889e-09,0.9437,-0.026,1.3242,1,0.0006442,-1.0,0.0,0.840113,0.843996
c175,Emulatorgridaroundbaselinecosmology,0.02173,0.1336,0.6432,1.7429e-09,0.9898,-0.003,2.7456,1,0.0006442,-0.911,0.35,0.70876,0.711484
c176,Emulatorgridaroundbaselinecosmology,0.02238,0.1199,0.6972,2.312e-09,0.9459,0.036,1.9043,1,0.0006442,-1.222,0.339,0.892483,0.896318
c177,Emulatorgridaroundbaselinecosmology,0.02239,0.1344,0.682,2.0641e-09,1.0002,0.007,2.8643,1,0.0006442,-0.757,-0.443,0.806026,0.80911
c178,Emulatorgridaroundbaselinecosmology,0.02234,0.1204,0.6542,1.9665e-09,0.9424,0.037,1.8987,1,0.0006442,-0.874,-0.455,0.791239,0.794555
c179,Emulatorgridaroundbaselinecosmology,0.0224,0.1067,0.5881,2.2365e-09,0.9308,-0.003,1.1884,1,0.0006442,-0.755,-0.435,0.775969,0.779541
c180,Emulatorgridaroundbaselinecosmology,0.02258,0.1209,0.7451,2.279e-09,0.9796,-0.034,2.1722,1,0.0006442,-1.108,-0.274,0.894071,0.897833
